,Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice to Terminate Renewal,Governing Law,Most Favored Nation,Non-Compete,Exclusivity,No-Solicit of Customers,Competitive Restriction Exception,No-Solicit of Employees,Non-Disparagement,Termination for Convenience,"Right of First Refusal, Offer or Negotiation (ROFR/ROFO/ROFN)",Change of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restriction,Minimum Commitment,Volume Restriction,IP Ownership Assignment,Joint IP Ownership,License Grant,Non-Transferable License,Affiliate IP License-Licensor,Affiliate IP License-Licensee,Unlimited/All-You-Can-Eat License,Irrevocable or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap on Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not to Sue,Third Party Beneficiary
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0.1523096263408661,0.12404906749725342,0.2266508787870407,0.12782296538352966,0.08526788651943207,0.1743333637714386,0.1461387574672699,0.09955370426177979,0.3001720905303955,0.054987724870443344,0.3574592173099518,0.06632660329341888,0.10066855698823929,0.2520737051963806,0.11721467226743698,0.2896919846534729,0.3426324129104614,0.1118430644273758,0.11703836917877197,0.3425326943397522,0.09628012031316757,0.05280052497982979,0.13293981552124023,0.057893071323633194,0.12209562212228775,0.09067004173994064,0.13145999610424042,0.05468393862247467,0.11249151825904846,0.20256437361240387,0.1373034566640854,0.24008645117282867,0.1382579505443573,0.1666455715894699,0.14162135124206543,0.0893602967262268,0.17279478907585144,0.4536038637161255,0.10852016508579254,0.052505288273096085,0.1616179198026657
1,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0.28714460134506226,0.3402731418609619,0.09140138328075409,0.17061610519886017,0.1969652771949768,0.3542044758796692,0.13208667933940887,0.19137533009052277,0.18622396886348724,0.21919865906238556,0.4352155327796936,0.14610092341899872,0.06545805931091309,0.14956097304821014,0.1754152476787567,0.5553234219551086,0.22271080315113068,0.21260075271129608,0.3404172360897064,0.4804162085056305,0.04581313952803612,0.09844497591257095,0.2707611322402954,0.09846396744251251,0.14520110189914703,0.13171158730983734,0.5888022184371948,0.1109563484787941,0.29327839612960815,0.47077256441116333,0.3826088309288025,0.1786508411169052,0.19839021563529968,0.24050576984882355,0.29276925325393677,0.12191574275493622,0.32915133237838745,0.4842885136604309,0.11416581273078918,0.053581491112709045,0.2697215974330902
2,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,0.06586306542158127,0.3236851394176483,0.08668330311775208,0.29166170954704285,0.14936710894107819,0.3996132016181946,0.38007333874702454,0.36974725127220154,0.5492880940437317,0.18610475957393646,0.2747891843318939,0.21208450198173523,0.24234765768051147,0.31805387139320374,0.10175371170043945,0.16135264933109283,0.5028156638145447,0.36418139934539795,0.18059282004833221,0.3326336145401001,0.4400455355644226,0.3837657570838928,0.38787439465522766,0.04807311296463013,0.05925993621349335,0.22758345305919647,0.1232762560248375,0.045568209141492844,0.39703458547592163,0.27652525901794434,0.09662467241287231,0.1460031419992447,0.2832827866077423,0.3844299614429474,0.37045273184776306,0.28866147994995117,0.12465672940015793,0.3473009765148163,0.2605135142803192,0.2629118263721466,0.35749879479408264
3,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,0.12701860070228577,0.1408330649137497,0.1630346179008484,0.19110603630542755,0.07579129189252853,0.0349266417324543,0.019287843257188797,0.03032824583351612,0.011157415807247162,0.09448865056037903,0.1322135180234909,0.02655262127518654,0.023064088076353073,0.2137574851512909,0.1730976104736328,0.033108536154031754,0.010736946947872639,0.11988628655672073,0.11925603449344635,0.013818414881825447,0.009541619569063187,0.17226123809814453,0.008739719167351723,0.04187436401844025,0.039997052401304245,0.05076491832733154,0.06388190388679504,0.03611709922552109,0.03420541062951088,0.05480039119720459,0.08161088824272156,0.27177712321281433,0.3171218931674957,0.01511362288147211,0.3867131173610687,0.03873530775308609,0.25543975830078125,0.03002074547111988,0.03026321530342102,0.02223668061196804,0.054629068821668625
4,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,1.675591920502484e-05,2.438249794067815e-05,1.3864464563084766e-05,2.5977218683692627e-05,0.3178870379924774,9.882269660010934e-05,0.0011359406635165215,0.0013246734160929918,8.141747093759477e-05,0.0002522894355934113,1.8262595403939486e-05,4.465870006242767e-05,1.0552635103522334e-05,0.0002735818852670491,0.0003554263385012746,0.00032383043435402215,0.00014577376714441925,6.409541674656793e-05,0.0004986508283764124,0.0001311047817580402,0.0002962219004984945,0.0003596086462493986,0.00015966959472279996,0.00028787131304852664,0.0001732721721054986,0.0018301468808203936,0.0008643271867185831,0.00044231873471289873,0.00032950390595942736,0.0001289257052121684,0.0004314333200454712,0.00032686596387065947,0.0002866802387870848,0.00032217326224781573,0.0003243431856390089,0.00011119817645521834,0.0005969838821329176,0.00024451411445625126,0.0006237814668565989,0.0002219178422819823,0.00026363867800682783
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
