Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice to Terminate Renewal,Governing Law,Most Favored Nation,Non-Compete,Exclusivity,No-Solicit of Customers,Competitive Restriction Exception,No-Solicit of Employees,Non-Disparagement,Termination for Convenience,"Right of First Refusal, Offer or Negotiation (ROFR/ROFO/ROFN)",Change of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restriction,Minimum Commitment,Volume Restriction,IP Ownership Assignment,Joint IP Ownership,License Grant,Non-Transferable License,Affiliate IP License-Licensor,Affiliate IP License-Licensee,Unlimited/All-You-Can-Eat License,Irrevocable or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap on Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not to Sue,Third Party Beneficiary
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR_AGREEMENT,DISTRIBUTOR AGREEMENT,7th,7th,7th,7th,"DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT ( the "" Agreement "" ) is made by and between Electric City Corp. , a Delaware corporation ( "" Company "" ) and Electric City of Illinois LLC ( "" Distributor "" ) this 7th","DISTRIBUTOR AGREEMENT THIS DISTRIBUTOR AGREEMENT ( the "" Agreement "" ) is made by and between Electric City Corp. , a Delaware corporation ( "" Company "" ) and Electric City of Illinois LLC ( "" Distributor "" ) this 7th",7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION_AND_DISTRIBUTION_AGREEMENT",Promotion and Distribution Agreement,"Promotion and Distribution Agreement including all exhibits ( collectively referred to as the "" Agreement "" ) , effective as of 2011 08 01",1,1,Promotion and Distribution Agreement,Promotion and Distribution Agreement,"Promotion and Distribution Agreement including all exhibits ( collectively referred to as the "" Agreement "" ) , effective as of 2011 08 01",Promotion and Distribution Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply_Agreement,SUPPLY CONTRACT Contract,1,1,1,1,"SUPPLY CONTRACT Contract No : Date : The buyer / End - User : Shenzhen LOHAS Supply Chain Management Co. , Ltd. . ADD : Tel No . : Fax No . : The seller : ADD : The Contract is concluded and signed by the Buyer and Seller on , in Hong Kong . 1","SUPPLY CONTRACT Contract No : Date : The buyer / End - User : Shenzhen LOHAS Supply Chain Management Co. , Ltd. . ADD : Tel No . : Fax No . : The seller : ADD : The Contract is concluded and signed by the Buyer and Seller on , in Hong Kong . 1 . General provisions 1.1 This is a framework agreement , the terms and conditions are applied to all purchase orders which signed by this agreement ( hereinafter referred to as the "" order "" ) . 1.2 If the provisions of the agreement are inconsistent with the order , the order shall prevail . Not stated in order content will be subject to the provisions of agreement . Any modification , supplementary , give up should been written records , only to be valid by buyers and sellers authorized representative signature and confirmation , otherwise will be deemed invalid .",1 . General provisions 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB_SITE_HOSTING_AGREEMENT,WEB SITE HOSTING AGREEMENT,6th,6th,6th,6th,WEB SITE HOSTING AGREEMENT,"WEB SITE HOSTING AGREEMENT This WEB SITE HOSTING AGREEMENT ( "" this Agreement "" ) is entered into this 6th",6th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NELNETINC_04_08_2020-EX-1-JOINT_FILING_AGREEMENT,JOINT FILING AGREEMENT,27,27,27,27,JOINT FILING AGREEMENT,"JOINT FILING AGREEMENT The undersigned hereby agree to jointly prepare and file with the applicable regulatory authorities this Schedule 13G or Schedule 13D and any future amendments thereto reporting each of the undersigned's ownership of securities of the issuer named herein , and hereby affirm that such Schedule 13G or Schedule 13D is being filed on behalf of each of the undersigned pursuant to and in accordance with the provisions of Rule 13d - 1 ( k ) under the Securities Exchange Act of 1934 . The undersigned acknowledge that each shall be responsible for the timely filing of such amendments , and for the completeness and accuracy of the information concerning her or it contained therein , but shall not be responsible for the completeness and accuracy of the information concerning the other , except to the extent that she or it knows or has reason to believe that such information is inaccurate . Dated : March 27",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT_AGREEMENT,ENDORSEMENT AGREEMENT,13,13,13,13,13,ENDORSEMENT AGREEMENT This Agreement is entered into on 2005 01 13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING_AGREEMENT",CONSULTING AGREEMENT,20,20,20,20,CONSULTING AGREEMENT 2018 07 20,CONSULTING AGREEMENT 2018 07 20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VEONEER,INC_02_21_2020-EX-10.11-JOINT_VENTURE_AGREEMENT",AMENDMENT AND TERMINATION OF JOINT VENTURE AGREEMENT,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion_Agreement,CO - PROMOTION AGREEMENT,26,26,26,26,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MetLife,_Inc._-_Remarketing_Agreement",REMARKETING AGREEMENT,26,26,26,26,Remarketing Agreement is dated as of 2014 08 26,"REMARKETING AGREEMENT 2014 08 26 Deutsche Bank Securities Inc. 60 Wall Street New York , New York 10005 Ladies and Gentlemen : This Remarketing Agreement is dated as of 2014 08 26",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
