Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Governing Law,Most Favored Nation,Competitive Restriction Exception,Non-Compete,Exclusivity,No-Solicit Of Customers,No-Solicit Of Employees,Non-Disparagement,Termination For Convenience,"Right of First Refusal, Offer or Negotiation (ROFR/ROFO/ROFN)",Change Of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restrictions,Minimum Commitment,Volume Restriction,Ip Ownership Assignment,Joint Ip Ownership,License Grant,Non-Transferable License,Affiliate License-Licensor,Affiliate License-Licensee,Unlimited/All-You-Can-Eat-License,Irrevocable Or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap On Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not To Sue,Third Party Beneficiary
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding_Agreement__Agency_Agreement,CO-BRANDING AND ADVERTISING AGREEMENT,"I-ESCROW, INC.  (""i-Escrow"" ); 2THEMART.COM, INC. (""2TheMart"")",6/21/99,6/21/99,6/21/00,Successive 1 year,30 days,California,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No
ABILITYINC_06_15_2020-EX-4.25-SERVICES_AGREEMENT,Services Agreement,"[ * * * ] (""Provider""); TELCOSTAR PTE, LTD.; Ability Computer & Software Industries Ltd; TELCOSTAR PTE, LTD. and Ability Computer & Software Industries Ltd (each and both of them ""Recipient""); Each of the foregoing parties is referred to herein as a ???Party??? and together as the ???Parties???.",19/1/10,19/1/11,12/31/20,,,Israel,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT_VENTURE_AGREEMENT,JOINT VENTURE AGREEMENT,"Collectible Concepts Group, Inc. (""CCGI""); Pivotal Self Service Tech, Inc. (""PVSS""); (the ""Parties"" or ""Joint Venturers"" if referred to collectively, or the ""Party"" or Joint Venturer"" if referred to singularly)",,3/1/03,2/28/04,,,Pennsylvania,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR_AGREEMENT,Multiple LINAC and Multi-Modality Distributor Agreement,"ACCURAY INCORPORATED, (""Accuray""); SIEMENS AKTIENGESELLSCHAFT (""Siemens"")",10/8/06,10/8/06,perpetual,,,Germany,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT_AGREEMENT,ENDORSEMENT AGREEMENT,"TOM WATSON (""CONSULTANT""); ADAMS GOLF, LTD. (""ADAMS GOLF"")",1/13/05,4/1/09,[]/[]/[],,,Kansas,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC_ALLIANCE_AGREEMENT,STRATEGIC ALLIANCE AGREEMENT,"The University of Texas M. D. Anderson Cancer Center (""MD Anderson""); Adaptimmune LLC (""Adaptimmune""); Adaptimmune Limited (""Adaptimmune Limited""); (MD Anderson and Adaptimmune each a ???Party??? and collectively the ???Parties???)",9/23/16,9/23/16,9/23/21,,,Texas,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER_AGREEMENT",Reseller Agreement,"PivX Corporation (""PivX""); Detto Technologies (""Detto"")",[]/[]/2004,[]/[]/2004,[]/[]/2004,,,California,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No
"ADMA_BioManufacturing,_LLC_-__Amendment_#3_to_Manufacturing_Agreement",Amendment #3 to the Manufacturing Agreemen,"ADMA BioManuFacturing, LLC (""ADMA""); Sanofi Pasteur S.A (""Sanofi Pasteur"")",12/22/17,12/21/17,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING_AGREEMENT",CONSULTING AGREEMENT,"Aduro Biotech, Inc (""Aduro""); IREYA B.V (""Consultant"")",20/1/06,20/1/07,12/31/20,,,California,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING_AGREEMENT1",CONSULTING AGREEMENT,"Aduro Biotech, Inc. (""Aduro""); IREYA B.V (""Consultant"")",20/1/06,20/1/07,12/31/20,,,California,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY_AGREEMENT,AGENCY AGREEMENT,"(AFSALA  Bancorp,  Inc. (the  ""Company""); Amsterdam Federal Savings and Loan Association (""Association""); Savings Association Insurance Fund (""SAIF""); Federal  Deposit Insurance Corporation (""FDIC""); Capital Resources, Inc. (""Capital Resources""))",[]/[]/1996,,,,,District of Columbia,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor_Agreement,"Distributor Agreement

Distributor Agreement","Airspan Networks Incorporated (""Airspan""); GLS LLC (""Distributor"")",3/31/00,3/31/00,3/31/05,,,South Dakota,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No
AIRTECHINTERNATIONALGROUPINC_05_08_2000-EX-10.4-FRANCHISE_AGREEMENT,FRANCHISE AGREEMENT,"Airsopure International Group, Inc. (""AIRSOPURE"" or ""we"" or ""us"" or ""our""); [] (""You"" or ""Franchisee"" or ""Your"")",[]/[]/2000,[]/[]/2000,[]/[]/2010,2 successive 10 years,,Texas,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No
ALAMOGORDOFINANCIALCORP_12_16_1999-EX-1-AGENCY_AGREEMENT,AGENCY AGREEMENT,"(Alamogordo Financial Corporation (""Company""); AF Mutual Holding Company (""MHC""); Alamogordo Federal Savings and Loan Association (""Bank""); Savings  Association Insurance Fund (""SAIF""); Federal Deposit Insurance Corporation (""FDIC""); Charles Webb & Company; Bruyette & Woods,  Inc. (""Agent""))",[]/[]/2000,[]/[]/2000,,,,Kansas,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No
ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY_AGREEMENT,AGENCY AGREEMENT,"General Electric Capital Corporation together with its successors and assigns, if any (???Lessor???); Duckwall-Alco Stores, Inc. (the ???Company???)",5/9/11,,perpetual,,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY_AGREEMENT,AGENCY AGREEMENT,"(Greater Delaware Valley Holdings (???PA MHC???); Alliance Mutual Holding Company (???Federal MHC???); Alliance Bancorp, Inc. of Pennsylvania (???Company""); Greater Delaware Valley Savings Bank d/b/a Alliance Bank (???Bank???); Sandler O???Neill & Partners, L.P. (???Sandler O???Neill??? or ???Agent???))",11/[]/2006,,,,,New York,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
ALLISONTRANSMISSIONHOLDINGSINC_12_15_2014-EX-99.1-COOPERATION_AGREEMENT,Cooperation Agreement,"VA Partners I, LLC, ValueAct Capital Master Fund, L.P., ValueAct Capital Management, L.P., ValueAct Capital Management, LLC, ValueAct Holdings, L.P. (collectively, the ???ValueAct Group???, and individually a ???member??? of the ValueAct Group); Allison Transmission Holdings, Inc. (the ???Company???); Gregory P. Spivy (the ???ValueAct Designee???)",14/12/12,,,,,Delaware,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT_AGREEMENT,Endorsement Agreement,"Kathy Ireland, Inc. (""KI Inc.""); Kathy Ireland (""KI""); The Sterling/Winters Co. (""SW""); Diplomat Ambassador Eyewear Group (""Diplomat"")",8/24/95,8/1/95,1/30/00,,,California,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY_AGREEMENT,AGENCY AGREEMENT,"Mutual Insurance Corporation of America (MICOA); Stratton, Cheeseman & Walsh-Nevada, Inc. (""Agency""); (sometimes commonly referred to as the Parties)",5/25/99,5/25/99,Perpetual,1 year,120 days,Nevada,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE_DEVELOPMENT_AND_HOSTING_AGREEMENT,SITE DEVELOPMENT AND HOSTING AGREEMENT (,"Hanover Direct, Inc. (""HDI""); The Deerskin Companies, Inc. (""Company"")",8/9/99,,,successive 1 year,90 days,New York,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION_AGREEMENT,Collaboration Agreement,"Anixa Biosciences, Inc. (""Anixa""); OntoChem GmbH (""OntoChem"")( individually as a ???Party??? and collectively as the ???Parties???)",4/14/20,4/14/20,,,,Delaware,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL_PROPERTY_AGREEMENT",INTELLECTUAL PROPERTY AGREEMENT,"Armstrong Flooring, Inc. (""Seller""); AFI Licensing LLC (""Licensing""); AFI Licensing LLC together with Armstrong Flooring, Inc. (""Arizona""); AHF Holding, Inc. (""Buyer""); Armstrong Hardwood Flooring Company (""Company""); AHF Holding, Inc. together with Armstrong Hardwood Flooring Company (""Buyer Entities""); (each of Arizona on the one hand and the Buyer Entities on the other hand, a ???Party??? and collectively, the ???Parties???)",12/31/18,12/31/18,perpetual,,,Delaware,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No
