Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Governing Law,Most Favored Nation,Competitive Restriction Exception,Non-Compete,Exclusivity,No-Solicit Of Customers,No-Solicit Of Employees,Non-Disparagement,Termination For Convenience,Rofr/Rofo/Rofn,Change Of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restrictions,Minimum Commitment,Volume Restriction,Ip Ownership Assignment,Joint Ip Ownership,License Grant,Non-Transferable License,Affiliate License-Licensor,Affiliate License-Licensee,Unlimited/All-You-Can-Eat-License,Irrevocable Or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap On Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not To Sue,Third Party Beneficiary
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding_Agreement__Agency_Agreement,CO-BRANDING AND ADVERTISING AGREEMENT,"I-ESCROW, INC.  (""i-Escrow"" ); 2THEMART.COM, INC. (""2TheMart"")",6/21/99,6/21/99,6/21/00,Successive 1 year,30 days,California,,,i-Escrow shall not run banner advertisements on the Co-Branded Site for any of 2TheMart's competitors.,,,,,,,"If a majority of the equity securities of either 2TheMart or i-Escrow, Inc. (except that i-Escrow may sell all or a majority of its equity securities or voting interests to i-Escrow.com, and i-Escrow.com may sell all or a majority of its equity securities or voting interests to i-Escrow's existing shareholders, without triggering the foregoing) are acquired by another company during the term of this Agreement either company may terminate this Agreement, without liability, by giving a thirty (30) days written notice to the other party.","All rights (under any applicable intellectual property right) granted herein are not sublicenseable,<omitted>transferable or assignable.","After the Launch Date, i-Escrow shall pay 2TheMart advertising fees based on the number of Transaction Inquiries.",,,,,"Notwithstanding the foregoing, to the extent that the Domain Name is deemed a combination mark, neither party shall use the Domain Name for any purpose except as expressly provided herein or attempt to register the Domain Name, and the parties will jointly cooperate on any enforcement action of infringement of the Domain Name.","Subject to the terms and conditions of this Agreement: (a) i-Escrow hereby grants to 2TheMart a non-exclusive, nontransferable right to use the i-Escrow Marks (including without limitation the Domain Name) in links to and advertisements and promotions for the Co-Branded Pages or the Services; and (b) 2TheMart hereby grants to i-Escrow a non-exclusive, nontransferable right to use 2TheMart Marks (including without limitation the Domain Name) on the Co-Branded Pages, and for the performance of  Services.","Subject to the terms and conditions of this Agreement: (a) i-Escrow hereby grants to 2TheMart a non-exclusive, nontransferable right to use the i-Escrow Marks (including without limitation the Domain Name) in links to and advertisements and promotions for the Co-Branded Pages or the Services; and (b) 2TheMart hereby grants to i-Escrow a non-exclusive, nontransferable right to use 2TheMart Marks (including without limitation the Domain Name) on the Co-Branded Pages, and for the performance of  Services.",,,,,,"Notwithstanding the foregoing, unless this Agreement was terminated for a material breach, all provisions of this Agreement shall survive to the extent necessary for i-Escrow to complete any Customer transactions which are pending at the time of expiration or termination.","Such inspection shall be at 2TheMart's expense; however, if the audit reveals overdue payments in excess of ten percent (10%) of the payments owed to date, i-Escrow shall immediately pay all cost of such audit.","EXCEPT IN THE EVENT OF A BREACH OF SECTION 11, NEITHER PARTY SHALL BE LIABLE FOR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOST PROFITS (HOWEVER ARISING, INCLUDING NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.","EXCEPT IN THE EVENT OF A BREACH OF SECTION 11, NEITHER PARTY SHALL BE LIABLE FOR SPECIAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES OR LOST PROFITS (HOWEVER ARISING, INCLUDING NEGLIGENCE) ARISING OUT OF OR IN CONNECTION WITH THIS AGREEMENT, EVEN IF THE PARTIES ARE AWARE OF THE POSSIBILITY OF SUCH DAMAGES.",,,,,
ABILITYINC_06_15_2020-EX-4.25-SERVICES_AGREEMENT,Services Agreement,"[ * * * ] (""Provider""); TELCOSTAR PTE, LTD.; Ability Computer & Software Industries Ltd; TELCOSTAR PTE, LTD. and Ability Computer & Software Industries Ltd (each and both of them ""Recipient""); Each of the foregoing parties is referred to herein as a ???Party??? and together as the ???Parties???.",19/1/10,19/1/11,12/31/20,,,Israel,,,,,,,,"Each of the Recipient and the Provider may, in their sole discretion, terminate this Agreement in whole or in part, at any time without cause, and without liability except, in the case of the Recipient, for required payment for services rendered and reimbursement for authorized expenses incurred, by providing at least 90 (ninety) days' prior written notice to the other party (such date, the ""Services Termination Date"").",,,"Provider may not assign, delegate or otherwise transfer either this Agreement or any of its rights, interests, or obligations hereunder without the prior written approval of Recipient.",,,,,"To the extent that any writings or works of authorship may not, by operation of law, be works made for hire, this Agreement shall constitute an irrevocable assignment by Provider to the Recipient of the ownership of and all rights of copyright in, such items, and the Recipient shall have the right to obtain and hold in its own name, rights of copyright, copyright registrations, and similar protections which may be available in the works.",,,,,,,,,,,,,,,,,
ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT_VENTURE_AGREEMENT,JOINT VENTURE AGREEMENT,"Collectible Concepts Group, Inc. (""CCGI""); Pivotal Self Service Tech, Inc. (""PVSS""); (the ""Parties"" or ""Joint Venturers"" if referred to collectively, or the ""Party"" or Joint Venturer"" if referred to singularly)",,3/1/03,2/28/04,,,Pennsylvania,,,,,,,,,,,"No Joint      Venturer shall be authorized or empowered to mortgage, hypothecate, pledge,      sell, or transfer, an interest in the Joint Venture, nor confer on any      successor or assignee the right to become a Joint Venturer without the      consent of the other Joint Venturer.","Division of Income and Losses. All income and credits, and all losses and      deductions shall be owned and shared among the Joint Venturers as follows:

     50% to Collectible Concepts Group, Inc.

     50% to Pivotal Self Service Tech, Inc.",,,,,,,,,,,,,,"All books and records of every kind and character, of      the Joint Venture, and other information, shall be kept at the principal      office of the Joint Venture, or at such other place or places as may be      agreed upon by the Joint Venturers, and shall be fully available to each      Joint Venturer or his duly authorized representative, all at reasonable      times.",,,,,,,
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR_AGREEMENT,Multiple LINAC and Multi-Modality Distributor Agreement,"ACCURAY INCORPORATED, (""Accuray""); SIEMENS AKTIENGESELLSCHAFT (""Siemens"")",10/8/06,10/8/06,perpetual,,,Germany,,,,,,,,,,,"Neither this Agreement, nor any of the rights, interests, or obligations under this Agreement may be assigned or  delegated, in whole or in part, by operation of law or otherwise, by any party without the prior written consent of the other party,  and any such assignment without such prior written consent shall be null and void; provided, however, that this Agreement may be  assigned by a Party in connection with a Change in Control of such party, subject to the specific termination and other rights set  forth in the Strategic<omitted>Alliance Agreement upon such Change in Control; provided, further, that Siemens may assign its rights and obligations under this  Agreement to any Distributor that agrees, in writing, to be bound by and comply with the terms and conditions of this Agreement  and the provisions of the Strategic Alliance Agreement, provided, that no such assignment shall relieve Siemens of its obligations  hereunder or thereunder if such Distributor does not perform such obligations.",,,,,,,"Accuray  hereby grants Distributor or Customer a nonexclusive, non-transferable, royalty-free right to use the software provided in  connection with the Products only in machine readable form and only in combination with the Products with which such software is  provided.","Accuray  hereby grants Distributor or Customer a nonexclusive, non-transferable, royalty-free right to use the software provided in  connection with the Products only in machine readable form and only in combination with the Products with which such software is  provided.",,,,,,"Furthermore, each of the parties agree to cooperate fully with the other for  any reasonable transition assistance required in the case of termination or expiration of this Agreement.",,"WITHOUT AFFECTING STRICT PRODUCT LIABILITY UNDER MANDATORY APPLICABLE LAW,  SECTION 10, OR THE RESPECTIVE OBLIGATIONS OF THE PARTIES UNDER THE CONFIDENTIAILITY AGREEMENT AND  EXCEPT FOR BREACHES ASSOCIATED WITH THE UNAUTHORIZED USE OF INTELLECTUAL PROPERTY, IN NO EVENT  SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR  TORT DAMAGES, INCLUDING WITHOUT LIMITATION, ANY DAMAGES RESULTING FROM LOSS OF USE, LOSS OF DATA,  LOSS OF PROFITS OR LOSS OF BUSINESS ARISING OUT OF OR IN CONNECTION WITH THE MATTERS CONTEMPLATED  BY THIS AGREEMENT, WHETHER OR NOT A PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",This will be Accuray's sole and exclusive obligation  and such Customer's sole and exclusive remedy in relation to defective Products and parts.,,"Accuray will provide a warranty to each Customer that the Products will be free from material defects and  perform substantially in accordance with the written Specifications provided by Accuray as reflected in the regulatory  clearance at the time of sale for a period of one (1) year following Installation of the Products at Customer's facility, but not  to exceed eighteen (18) months following shipment of such Products to Distributor (""Warranty Period"").",,,
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT_AGREEMENT,ENDORSEMENT AGREEMENT,"TOM WATSON (""CONSULTANT""); ADAMS GOLF, LTD. (""ADAMS GOLF"")",1/13/05,4/1/09,[]/[]/[],,,Kansas,,The parties expressly  agree that CONSULTANT may  permit [*****] the use of CONSULTANT'S  name and/or likeness in [*****] print and/or television advertisement provided that this is executed in a manner consistent with [*****] past  [*****] advertising practice using similarly situated professional golfers  with competing golf club endorsement agreements that include [*****].,"When endorsing a non-competitive product, under no circumstances shall CONSULTANT wear, play, use, hold or in any way be associated with an ADAMS GOLF competitor's Product.","CONSULTANT hereby gives and grants to ADAMS GOLF the exclusive right and license to use CONSULTANT'S ENDORSEMENT in connection with the manufacture, sale, distribution, advertising and promotion of PRODUCT in the CONTRACT TERRITORY.",,,,,,,"Neither ADAMS GOLF nor CONSULTANT shall have the right to grant sublicenses hereunder or to assign, alienate or otherwise transfer any of its rights or obligations hereunder.",,,"In each and every calendar year of this Agreement, CONSULTANT shall achieve a satisfactory record of play in a minimum of [* ****] professional golf association events on the SPGA and/or PGA tour (which shall include both the PGA and SPGA Tour Skins Games).","During  the term of this Agreement, CONSULTANT  shall make himself available on not more than [*****]  days for television and radio commercials, photo shoots, modeling and  promotional appearances compatible with CONSULTANT'S  own practice, play and personal time requirements.",,,"CONSULTANT hereby gives and grants to ADAMS GOLF the exclusive right and license to use CONSULTANT'S ENDORSEMENT in connection with the manufacture, sale, distribution, advertising and promotion of PRODUCT in the CONTRACT TERRITORY.",,,,,,,,,,,,,,,
ADAPTIMMUNETHERAPEUTICSPLC_04_06_2017-EX-10.11-STRATEGIC_ALLIANCE_AGREEMENT,STRATEGIC ALLIANCE AGREEMENT,"The University of Texas M. D. Anderson Cancer Center (""MD Anderson""); Adaptimmune LLC (""Adaptimmune""); Adaptimmune Limited (""Adaptimmune Limited""); (MD Anderson and Adaptimmune each a ???Party??? and collectively the ???Parties???)",9/23/16,9/23/16,9/23/21,,,Texas,,,,"MD Anderson also hereby grants to Adaptimmune Limited an exclusive option to negotiate an<omitted>exclusive (subject to MD Anderson's perpetual, irrevocable, no-cost right to use such Invention for non-commercial internal research, academic and patient care purposes), royalty-bearing license to any Invention in which MD Anderson has an ownership interest, provided that Adaptimmune Limited pays all reasonably incurred patent expenses for such Invention in the event Adaptimmune Limited exercises its option.",,,,"In addition, in order to accommodate the review and approval of this Agreement by the Office of General Counsel of UT System (the ""OGC""), for a period of *** (***) days following the Effective Date (the ""Limited Unilateral Termination Period""), MD Anderson will have the right to terminate this Agreement without cause upon ten (10) days' notice to Adaptimmune; provided, however, that (i) a termination by MD Anderson will be effective if notice of termination is sent by MD Anderson any time within the Limited Unilateral Termination Period even if the ten day notice period extends beyond the Limited Unilateral Termination Period and (ii) the Limited Unilateral Termination Period will expire on the earlier to occur of (x) the end of the sixty days, or (y) written notice to Adaptimmune from MD Anderson that the Agreement has been approved by the OGC.","If Adaptimmune Limited timely exercises its option, the terms of the license shall be negotiated in good faith within six months of the date such option is exercised, or within such time the parties may mutually agree in writing (the ""Negotiation Period"").",,This Agreement and/or any Study Order may not be assigned by either Party except as agreed upon in writing by the other Party.,,,"Adaptimmune agrees to commit funding in an amount of at least nineteen million six hundred and forty four thousand Dollars US ($19,644,000) for the performance of the Studies as set out in Exhibit I during the term (""Alliance Funding"").",,,"If Adaptimmune elects not to file in the United States or not to maintain an application or patent arising from any jointly-owned Invention, Adaptimmune will promptly notify MD Anderson within reasonable time for MD Anderson to file, prosecute or maintain such application or patent, and MD Anderson will have the right to file, prosecute or maintain such application or patent, at MD Anderson's expense. MD Anderson will keep Adaptimmune reasonably informed of all such material preparations, material filings, material prosecution, material maintenance, material enforcement and defense it makes in relation to any jointly-owned Invention.","Notwithstanding any other provision of this Agreement, MD Anderson shall have the right to use results and Data of the Study for its internal research, academic, and patient care purposes and for publication in accordance with Section 12 below, save that no right or license is granted to MD Anderson under any of Adaptimmune's Background IP. Adaptimmune shall promptly disclose any Data it generates to MD Anderson.",,,,,"MD Anderson hereby grants Adaptimmune and Adaptimmune Limited a non-exclusive, worldwide, irrevocable royalty-free license to any Invention in which MD Anderson has an ownership interest, for any purpose.",,Termination of one or more Study Orders will not automatically result in the termination of this Agreement or termination of any other Study Orders.,Such monitoring visits shall also enable Adaptimmune to (a) inspect and review any or all Study Records and Study source documents for comparison with case report forms; and (b) audit financial records relating solely to the performance of the Study under this Agreement.,,NEITHER PARTY SHALL BE LIABLE FOR ANY INDIRECT OR CONSEQUENTIAL DAMAGES SUFFERED BY THE OTHER PARTY AS A RESULT OF PERFORMANCE OF ANY STUDY UNDER THIS AGREEMENT.,,,"During the term of any Study Order under this Agreement, Adaptimmune Limited shall maintain in full force and effect insurance for its and Adaptimmune's liabilities arising from the Study with limits of not less than $*** per loss and $*** annual aggregate. Adaptimmune shall provide MD Anderson with evidence of such insurance upon request.",,
"ADIANUTRITION,INC_04_01_2005-EX-10.D2-RESELLER_AGREEMENT",Reseller Agreement,"PivX Corporation (""PivX""); Detto Technologies (""Detto"")",[]/[]/2004,[]/[]/2004,[]/[]/2004,,,California,,,,"Subject to the terms and conditions of this Agreement, PivX hereby grants to Detto a non-transferable, exclusive license to distribute PivX's Qwik-Fix Pro and any documentation supporting Qwik-Fix Pro provided from time to time by PivX (the ""Documentation"") within North America, solely to third parties to whom Detto licenses Qwik-Fix Pro (""Third Parties""), and as governed by the terms set forth in Exhibit A (PivX/Detto Reseller Agreement Addendum).",,,,PivX may terminate this Agreement for convenience by giving at least thirty (30) days written notice of termination to Detto.,,,"Detto may not assign any of its rights or delegate any of its obligations hereunder, whether by operation of law or otherwise, without PivX's prior written consent. Subject to the foregoing, this Agreement shall bind and inure to the benefit of the parties, their respective successors and permitted assigns.",,,,,,,"Subject to the terms and conditions of this Agreement, PivX hereby grants to Detto a non-transferable, exclusive license to distribute PivX's Qwik-Fix Pro and any documentation supporting Qwik-Fix Pro provided from time to time by PivX (the ""Documentation"") within North America, solely to third parties to whom Detto licenses Qwik-Fix Pro (""Third Parties""), and as governed by the terms set forth in Exhibit A (PivX/Detto Reseller Agreement Addendum). PivX also hereby grants to Detto a non-transferable, non-exclusive license to distribute PivX's Qwik-Fix Pro and the Documentation outside of North America, solely to Third Parties and as governed by the terms in Exhibit A. Detto shall have no right to reproduce Qwik-Fix Pro or any part thereof.","Subject to the terms and conditions of this Agreement, PivX hereby grants to Detto a non-transferable, exclusive license to distribute PivX's Qwik-Fix Pro and any documentation supporting Qwik-Fix Pro provided from time to time by PivX (the ""Documentation"") within North America, solely to third parties to whom Detto licenses Qwik-Fix Pro (""Third Parties""), and as governed by the terms set forth in Exhibit A (PivX/Detto Reseller Agreement Addendum). PivX also hereby grants to Detto a non-transferable, non-exclusive license to distribute PivX's Qwik-Fix Pro and the Documentation outside of North America, solely to Third Parties and as governed by the terms in Exhibit A. Detto shall have no right to reproduce Qwik-Fix Pro or any part thereof.",,,,,,,"In addition, Detto shall make its offices and equipment available in person, upon reasonable notice, and to the extent feasible, remotely, to PivX to inspect and test Detto's physical and technical set-up to ensure that Detto is complying with its obligations under this Section.","EXCEPT FOR PIVX'S OBLIGATIONS UNDER SECTION 4.2, IN NO EVENT SHALL PIVX'S OR ITS LICENSORS' LIABILITY TO DETTO OR ANY THIRD PARTY ARISING OUT OF THIS AGREEMENT EXCEED THE TOTAL AMOUNT ACTUALLY RECEIVED BY PIVX HEREUNDER DURING THE PREVIOUS SIX (6) MONTHS.","In the event of termination in accordance with Section 5.1, PivX shall not be liable to Detto because of such termination for compensation, reimbursement or damages on account of the loss of prospective profits or anticipated sales or on account of expenditures, inventory, investments, leases or commitments in connection with the business or goodwill of Detto.",,"With respect to Qwik-Fix Pro delivered by PivX to Detto on CD-Rom, PivX warrants that for a period of thirty (30) days following delivery to Detto, the media on which Qwik-Fix Pro is furnished to Detto will be free from defects in materials and workmanship during normal use.",,Detto shall not contest the validity of any of the Property or PivX's exclusive ownership of them.,
"ADMA_BioManufacturing,_LLC_-__Amendment_#3_to_Manufacturing_Agreement",Amendment #3 to the Manufacturing Agreemen,"ADMA BioManuFacturing, LLC (""ADMA""); Sanofi Pasteur S.A (""Sanofi Pasteur"")",12/22/17,12/21/17,,,,,,,,,,,,,,,,,,"Should ADMA fail to supply a minimum of [***] Batches of Product (the ""Minimum Volume"") of Product during the time period as specified in this Amendment #3, ADMA agrees that Sanofi Pasteur shall be entitled to obtain from ADMA as liquidated damages, and not a penalty, amounting to $[***] ([***]) USD.",,,,,,,,,,,"such a case, the remaining Source Plasma shall be immediately returned to Sanofi Pasteur, under ADMA's liability and expenses. S",,"Except for the obligation of indemnity as set forth in Section 6.1 (c) with respect to claims by third parties for personal injury, illness or death (but not including property damage) resulting from the manufacture of the Product by BPC, aggregate damages for which ADMA shall be liable to Sanofi Pasteur hereunder, including without limitation costs of Source Plasma yield loss and/or rejected Batches, shall not exceed [***].","The liability cap set forth under section 6.5 is hereby amended to adapt to the provisions of this Amendment #3 and is therefore set at ""[***]"" instead of ""[***]"".","Should ADMA fail to supply a minimum of [***] Batches of Product (the ""Minimum Volume"") of Product during the time period as specified in this Amendment #3, ADMA agrees that Sanofi Pasteur shall be entitled to obtain from ADMA as liquidated damages, and not a penalty, amounting to $[***] ([***]) USD.",,,,
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING_AGREEMENT",CONSULTING AGREEMENT,"Aduro Biotech, Inc (""Aduro""); IREYA B.V (""Consultant"")",20/1/06,20/1/07,12/31/20,,,California,,,,,,"From the Effective Date and for twelve (12) months after the termination of this Agreement (the ""Restricted Period""), Consultant shall not, without Aduro's prior written consent, directly or indirectly, solicit or encourage any employee or contractor of Aduro or its affiliates to terminate employment with, or cease providing Services to, Aduro or its affiliates.",,Either party may terminate this Agreement at any time on prior written notice to the other.,,,,,,,,"Aduro shall be the sole and exclusive owner of, and Consultant hereby assigns to Aduro, any and all writings, documents, work product, inventions, developments, improvements, discoveries, know-how, processes, chemical entities, compounds, plans, memoranda, tests, research, designs, specifications, models and data that Consultant makes, conceives, discovers or develops, either solely or jointly with any other person in performance of the Services (collectively, ""Work Product"").",,,,,,,,,,,,,,,,,
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING_AGREEMENT1",CONSULTING AGREEMENT,"Aduro Biotech, Inc. (""Aduro""); IREYA B.V (""Consultant"")",20/1/06,20/1/07,12/31/20,,,California,,,,"During the term of this Agreement, Consultant will not, directly or indirectly (whether for compensation or without compensation) engage in or provide consulting services, or enter into any agreement either written or oral, that would present a material conflict with any of the provisions of this Agreement, or would preclude Consultant from complying with the terms and conditions hereof.",,"From the Effective Date and for twelve (12) months after the termination of this Agreement (the ""Restricted Period""), Consultant shall not, without Aduro's prior written consent, directly or indirectly, solicit or encourage any employee or contractor of Aduro or its affiliates to terminate employment with, or cease providing Services to, Aduro or its affiliates.",,Either party may terminate this Agreement at any time on prior written notice to the other.,,,This Agreement shall not be assignable by Consultant.,,,,,"Aduro shall be the sole and exclusive owner of, and Consultant hereby assigns to Aduro, any and all writings, documents, work product, inventions, developments, improvements, discoveries, know-how, processes, chemical entities, compounds, plans, memoranda, tests, research, designs, specifications, models and data that Consultant makes, conceives, discovers or develops, either solely or jointly with any other person in performance of the Services (collectively, ""Work Product"").",,,,,,,,,,,,,,,,,
